wv2_savi_M,wv2_savi_S,sno_savi_M,sno_savi_S,mos_savi_M,mos_savi_S,Dec_14,Dif_D_J,Jan_17,Dif_J_F,Feb_15,Dif_F_M,Mar_17,Dif_M_A,Apr_17,Dif_A_A,Apr_28
0.73910399,0.066874463,0.178362451,0.071394253,0.236499505,0.325619354,28.82797882,27.98367622,56.81165504,2.882328301,59.69398334,16.36793869,76.06192204,-12.24081183,63.8211102,-22.5299221,41.2911881
0.75303185,0.037343555,0.060728086,0.048806342,-0.045893855,0.037119539,27.78530283,28.91999982,56.70530265,-0.539302312,56.16600034,20.29720024,76.46320058,-19.36358562,57.09961496,-18.78904379,38.31057117
0.587016578,0.087581206,0.04681059,0.047218276,0.052048144,0.22964019,33.41712622,33.27981891,66.69694513,-1.863068722,64.8338764,20.53223448,85.36611089,-12.994463,72.37164788,-24.01543155,48.35621633
0.785865171,0.10021456,0.151837664,0.092095165,0.27049543,0.380517847,30.23381019,27.19557443,57.42938463,2.618754815,60.04813944,16.36568208,76.41382152,-12.70475861,63.70906291,-26.05710722,37.6519557
0.922854353,0.017650427,-0.057750585,0.006081846,0.139303835,0.245133788,27.11788814,26.76456882,53.88245697,1.114493064,54.99695003,19.15706893,74.15401896,-13.70016416,60.4538548,-27.49232811,32.96152669
0.834878654,0.037260164,-0.053872215,0.006271364,0.181432259,0.141524217,23.47999772,27.16555211,50.64554982,-1.220927889,49.42462193,18.75208206,68.176704,-8.735514703,59.44118929,-34.29480919,25.1463801
0.89728173,0.025742112,-0.045569389,0.006250022,0.20966458,0.208379553,25.80226756,26.9326869,52.73495446,-1.334648167,51.4003063,19.07981992,70.48012621,-10.72392175,59.75620446,-33.71111479,26.04508967
0.935836386,0.038370569,-0.029561054,0.010736524,0.003447538,0.108923243,30.88227321,32.48318043,63.36545364,0.824036896,64.18949053,19.36731478,83.55680531,-9.831836959,73.72496836,-32.78404571,40.94092265
0.823736936,0.069832414,0.181585835,0.069296039,0.638506649,0.116922258,34.03239944,29.78978575,63.82218518,-4.408397321,59.41378786,15.69931844,75.1131063,-8.098783586,67.01432272,-27.16215826,39.85216445
0.822280506,0.026550429,-0.035461259,0.004856512,-0.007099082,0.107318889,27.84725632,30.87521473,58.72247104,-2.056773608,56.66569744,19.40519961,76.07089705,-14.77947528,61.29142177,-27.00905256,34.28236921
0.677251086,0.030582174,-0.045372774,0.009233818,-0.049993927,0.071709217,25.26387434,32.90672617,58.1706005,-3.613140289,54.55746022,15.75730984,70.31477006,-11.67547723,58.63929283,-28.22080928,30.41848355
0.647858997,0.055800868,-0.040776047,0.005295134,-0.052722087,0.066942262,24.74635773,32.32143677,57.0677945,-3.62328047,53.44451403,14.75068562,68.19519966,-9.348781258,58.8464184,-29.77414672,29.07227167
1.015936054,0.019926964,-0.041738282,0.008234682,0.09455733,0.243391866,33.22655782,31.97242264,65.19898046,-0.380826605,64.81815385,21.23018389,86.04833774,-18.02743936,68.02089838,-28.81864443,39.20225395
1.030018836,0.009199717,-0.04271442,0.001898195,0.414976228,0.265116431,34.6301695,30.01621985,64.64638935,-1.374027045,63.2723623,18.58220668,81.85456898,-23.22618175,58.62838724,-23.5422285,35.08615874
0.928976786,0.01660474,-0.044499812,0.005578045,-0.014626947,0.090712026,29.17285578,30.41365696,59.58651274,-2.930886135,56.6556266,22.84129407,79.49692068,-22.63351371,56.86340696,-21.72489194,35.13851503
0.945101155,0.019580303,-0.039211283,0.011701518,0.025560629,0.140855835,28.25076547,30.93254323,59.1833087,-3.9449273,55.2383814,24.05706313,79.29544452,-21.60433967,57.69110486,-23.03332501,34.65777984
-0.20651111,0.007417644,-0.20270397,0.017860003,-0.825963495,0.080958744,37.45898,34.59851,72.05749,-10.53986558,61.51762442,2.24553329,63.76315771,13.41710236,77.18026006,-12.31293672,64.86732335
1.051855907,0.012408433,-0.044571076,0.00439671,0.389779747,0.22216145,35.96523835,28.78335479,64.74859315,3.562145033,68.31073818,23.2956562,91.60639438,-14.05748551,77.54890888,-35.63473715,41.91417172
1.038265648,0.037449715,-0.050212183,0.016011363,0.116766681,0.235885172,35.83842779,27.919764,63.75819179,3.214749423,66.97294121,20.26912921,87.24207042,-10.26139773,76.98067269,-32.85926738,44.12140531
0.886130483,0.040760659,-0.050182856,0.011377438,0.103281337,0.220619756,32.48479368,27.82319191,60.3079856,3.792986388,64.10097198,17.14372196,81.24469395,-10.29716343,70.94753052,-28.97085442,41.9766761
1.052804764,0.026233857,-0.048962308,0.013024609,0.451389534,0.274434848,37.47722002,28.84847496,66.32569498,-0.038509576,66.2871854,19.12205618,85.40924159,-11.99684035,73.41240124,-31.71745849,41.69494275
0.797805737,0.058948314,0.178505798,0.096431726,0.712479715,0.236702595,34.36036784,25.51872572,59.87909356,-2.498925461,57.3801681,17.35831708,74.73848518,-14.44249334,60.29599184,-24.16698878,36.12900307
0.773998923,0.056983879,0.127052449,0.079665117,0.56209346,0.323049855,29.38595426,26.36032793,55.7462822,3.46813454,59.21441674,13.89553835,73.10995509,-13.00378891,60.10616619,-24.91644751,35.18971868
